"HITId","MaxAssignments","AssignmentId","WorkerId","AssignmentStatus","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Input_url1","Input_url2","Input_url3","Answer_comments","Answer_control1","Answer_control2","Answer_control3","Answer_difficulty1","Answer_difficulty2","Answer_difficulty3","Answer_engagement1","Answer_engagement2","Answer_engagement3","Answer_gameJSON1","Answer_gameJSON2","Answer_gameJSON3","Answer_gamebreak1_gravHigh","Answer_gamebreak1_gravLow","Answer_gamebreak1_jumpChamber","Answer_gamebreak1_obSpeed","Answer_gamebreak1_playerSize","Answer_gamebreak1_speed","Answer_gamebreak2_gravHigh","Answer_gamebreak2_gravLow","Answer_gamebreak2_jumpChamber","Answer_gamebreak2_obSpeed","Answer_gamebreak2_playerSize","Answer_gamebreak2_speed","Answer_gamebreak3_gravHigh","Answer_gamebreak3_gravLow","Answer_gamebreak3_jumpChamber","Answer_gamebreak3_obSpeed","Answer_gamebreak3_playerSize","Answer_gamebreak3_speed","Answer_gamebroken1_true","Answer_gamebroken2_true","Answer_gamebroken3_true","Answer_genres_action","Answer_genres_adventure","Answer_genres_fps","Answer_genres_mmo","Answer_genres_moba","Answer_genres_mobile","Answer_genres_notGamer","Answer_genres_platformer","Answer_genres_rpg","Answer_genres_sport","Answer_genres_strategy","Answer_personality","Answer_ranking","Answer_stress1","Answer_stress2","Answer_stress3"
"3FDWKV9VCN2EUILQUO90VSBNR12MUV","2","3GDTJDAPVUBJJ5C7INDXNKOLZC9M83","A1LA71INO16FVS","Approved","","608","100% (5/5)","https://lukemjm.github.io/jumpy?h=98&w=17&s=8&g=0.27&iY=-10&l=1&cJE=true&oSI=0.63&id=1&t=60","https://lukemjm.github.io/jumpy?h=63&w=44&s=5&g=0.59&iY=-13&l=1&cJE=false&oSI=0.7&id=2&t=60","https://lukemjm.github.io/jumpy?h=19&w=48&s=2&g=0.42&iY=-13&l=3&cJE=false&oSI=0.22&id=3&t=60","","8","10","5","8","10","2","7","6","10","{
  ""height"": 98,
  ""width"": 17,
  ""moveSpeed"": 8,
  ""gravity"": 0.27,
  ""impulseY"": -10,
  ""lives"": 1,
  ""chamberedJumpEnabled"": true,
  ""highestScore"": 8,
  ""attempts"": 5,
  ""keyPresses"": 26,
  ""id"": ""1"",
  ""obstacleSpeedIncrement"": 0.63
}","{
  ""height"": 63,
  ""width"": 44,
  ""moveSpeed"": 5,
  ""gravity"": 0.59,
  ""impulseY"": -13,
  ""lives"": 1,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 0,
  ""attempts"": 13,
  ""keyPresses"": 10,
  ""id"": ""2"",
  ""obstacleSpeedIncrement"": 0.7
}","{
  ""height"": 19,
  ""width"": 48,
  ""moveSpeed"": 2,
  ""gravity"": 0.42,
  ""impulseY"": -13,
  ""lives"": 3,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 18,
  ""attempts"": 3,
  ""keyPresses"": 25,
  ""id"": ""3"",
  ""obstacleSpeedIncrement"": 0.22
}","true","true","false","true","false","true","true","true","false","false","true","false","false","false","false","false","false","false","true","true","false","false","false","true","false","false","true","false","false","false","true","false","ISFP","123","9","10","7"
"3FDWKV9VCN2EUILQUO90VSBNR12MUV","2","3OSWBBLG1EX6UC72D2QMKTIKH7RXD5","A1Y96YMHITMO74","Approved","","262","100% (1/1)","https://lukemjm.github.io/jumpy?h=98&w=17&s=8&g=0.27&iY=-10&l=1&cJE=true&oSI=0.63&id=1&t=60","https://lukemjm.github.io/jumpy?h=63&w=44&s=5&g=0.59&iY=-13&l=1&cJE=false&oSI=0.7&id=2&t=60","https://lukemjm.github.io/jumpy?h=19&w=48&s=2&g=0.42&iY=-13&l=3&cJE=false&oSI=0.22&id=3&t=60","It was the most fun i've had","10","10","10","7","9","3","3","3","6","{
  ""height"": 98,
  ""width"": 17,
  ""moveSpeed"": 8,
  ""gravity"": 0.27,
  ""impulseY"": -10,
  ""lives"": 1,
  ""chamberedJumpEnabled"": true,
  ""highestScore"": 8,
  ""attempts"": 7,
  ""keyPresses"": 42,
  ""id"": ""1"",
  ""obstacleSpeedIncrement"": 0.63
}","{
  ""height"": 63,
  ""width"": 44,
  ""moveSpeed"": 5,
  ""gravity"": 0.59,
  ""impulseY"": -13,
  ""lives"": 1,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 2,
  ""attempts"": 12,
  ""keyPresses"": 52,
  ""id"": ""2"",
  ""obstacleSpeedIncrement"": 0.7
}","{
  ""height"": 19,
  ""width"": 48,
  ""moveSpeed"": 2,
  ""gravity"": 0.42,
  ""impulseY"": -13,
  ""lives"": 3,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 24,
  ""attempts"": 3,
  ""keyPresses"": 142,
  ""id"": ""3"",
  ""obstacleSpeedIncrement"": 0.22
}","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","true","false","true","true","false","true","INTJ","3, 2, 1","2","2","3"
"3QTFNPMJC6I1YZ00CCN8PZF2Y9RZNX","2","35L9RVQFCOIVPOI9UTYPR7YEFH6HU9","AWN8SISULPG1E","Approved","","285","75% (3/4)","https://lukemjm.github.io/jumpy?h=36&w=16&s=3&g=0.47&iY=-11&l=4&cJE=true&oSI=0.29&id=1&t=60","https://lukemjm.github.io/jumpy?h=96&w=33&s=6&g=0.45&iY=-15&l=4&cJE=false&oSI=0.6&id=2&t=60","https://lukemjm.github.io/jumpy?h=38&w=22&s=8&g=0.68&iY=-17&l=5&cJE=true&oSI=0.57&id=3&t=60","no comments","7","7","8","2","3","2","10","10","10","{
  ""height"": 36,
  ""width"": 16,
  ""moveSpeed"": 3,
  ""gravity"": 0.47,
  ""impulseY"": -11,
  ""lives"": 4,
  ""chamberedJumpEnabled"": true,
  ""highestScore"": 12,
  ""attempts"": 2,
  ""keyPresses"": 95,
  ""id"": ""1"",
  ""obstacleSpeedIncrement"": 0.29
}","{
  ""height"": 96,
  ""width"": 33,
  ""moveSpeed"": 6,
  ""gravity"": 0.45,
  ""impulseY"": -15,
  ""lives"": 4,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 10,
  ""attempts"": 3,
  ""keyPresses"": 80,
  ""id"": ""2"",
  ""obstacleSpeedIncrement"": 0.6
}","{
  ""height"": 38,
  ""width"": 22,
  ""moveSpeed"": 8,
  ""gravity"": 0.68,
  ""impulseY"": -17,
  ""lives"": 5,
  ""chamberedJumpEnabled"": true,
  ""highestScore"": 11,
  ""attempts"": 3,
  ""keyPresses"": 40,
  ""id"": ""3"",
  ""obstacleSpeedIncrement"": 0.57
}","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","false","false","false","true","false","personalityUnknown","3,2,1","2","2","2"
"3QTFNPMJC6I1YZ00CCN8PZF2Y9RZNX","2","384PI804XS14ZBK97GW46EH983FS0Y","AUB2Y2EREGBUZ","Approved","","281","100% (1/1)","https://lukemjm.github.io/jumpy?h=36&w=16&s=3&g=0.47&iY=-11&l=4&cJE=true&oSI=0.29&id=1&t=60","https://lukemjm.github.io/jumpy?h=96&w=33&s=6&g=0.45&iY=-15&l=4&cJE=false&oSI=0.6&id=2&t=60","https://lukemjm.github.io/jumpy?h=38&w=22&s=8&g=0.68&iY=-17&l=5&cJE=true&oSI=0.57&id=3&t=60","","6","4","5","6","4","4","2","2","3","{
  ""height"": 36,
  ""width"": 16,
  ""moveSpeed"": 3,
  ""gravity"": 0.47,
  ""impulseY"": -11,
  ""lives"": 4,
  ""chamberedJumpEnabled"": true,
  ""highestScore"": 7,
  ""attempts"": 4,
  ""keyPresses"": 18,
  ""id"": ""1"",
  ""obstacleSpeedIncrement"": 0.29
}","{
  ""height"": 96,
  ""width"": 33,
  ""moveSpeed"": 6,
  ""gravity"": 0.45,
  ""impulseY"": -15,
  ""lives"": 4,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 3,
  ""attempts"": 5,
  ""keyPresses"": 19,
  ""id"": ""2"",
  ""obstacleSpeedIncrement"": 0.6
}","{
  ""height"": 38,
  ""width"": 22,
  ""moveSpeed"": 8,
  ""gravity"": 0.68,
  ""impulseY"": -17,
  ""lives"": 5,
  ""chamberedJumpEnabled"": true,
  ""highestScore"": 5,
  ""attempts"": 4,
  ""keyPresses"": 21,
  ""id"": ""3"",
  ""obstacleSpeedIncrement"": 0.57
}","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","personalityUnknown","3,1,2","7","7","1"
"367O8HRHKG8IBF4GZFE4UXCZKDWS4Q","4","339ANSOTR52HINOH6XC8LWQVD43IKO","A1FDCWFS5IXYFK","Rejected","Unfortunately you failed to click the yellow button after each game to unlock the rest of the survey","105","0% (0/2)","https://lukemjm.github.io/jumpy?h=96&w=29&s=9&g=0.69&iY=-15&l=4&cJE=false&oSI=0.63&id=1&t=60","https://lukemjm.github.io/jumpy?h=28&w=14&s=4&g=0.74&iY=-17&l=2&cJE=false&oSI=0.38&id=2&t=60","https://lukemjm.github.io/jumpy?h=33&w=46&s=4&g=0.58&iY=-15&l=2&cJE=false&oSI=0.31&id=3&t=60","","1","1","1","1","1","1","1","1","1","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","INTP","1, 2, 3","1","1","1"
"367O8HRHKG8IBF4GZFE4UXCZKDWS4Q","4","3HL8HNGX451DR0301SFYSQZNMHIF9H","AJXY0J8K30137","Rejected","Unfortunately, you didn't click the yellow 'click here' button after playing all games and thus didn't unlock the game-specific surveys.","672","0% (0/1)","https://lukemjm.github.io/jumpy?h=96&w=29&s=9&g=0.69&iY=-15&l=4&cJE=false&oSI=0.63&id=1&t=60","https://lukemjm.github.io/jumpy?h=28&w=14&s=4&g=0.74&iY=-17&l=2&cJE=false&oSI=0.38&id=2&t=60","https://lukemjm.github.io/jumpy?h=33&w=46&s=4&g=0.58&iY=-15&l=2&cJE=false&oSI=0.31&id=3&t=60","precisamos de mais hits para classificar mais jogos assim,alguns jogos serem melhores ou melhorados","1","1","1","1","1","1","1","1","1","","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","false","false","false","false","false","true","personalityUnknown","2,1,3","1","1","1"
"367O8HRHKG8IBF4GZFE4UXCZKDWS4Q","4","3SB4CE2TJVV8W54QTSZKUSAEW4TAXF","A3SZF91DCOQPW3","Approved","","552","100% (1/1)","https://lukemjm.github.io/jumpy?h=96&w=29&s=9&g=0.69&iY=-15&l=4&cJE=false&oSI=0.63&id=1&t=60","https://lukemjm.github.io/jumpy?h=28&w=14&s=4&g=0.74&iY=-17&l=2&cJE=false&oSI=0.38&id=2&t=60","https://lukemjm.github.io/jumpy?h=33&w=46&s=4&g=0.58&iY=-15&l=2&cJE=false&oSI=0.31&id=3&t=60","Fun Survey","6","7","7","6","5","3","8","8","8","{
  ""height"": 96,
  ""width"": 29,
  ""moveSpeed"": 9,
  ""gravity"": 0.69,
  ""impulseY"": -15,
  ""lives"": 4,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 16,
  ""attempts"": 4,
  ""keyPresses"": 131,
  ""id"": ""1"",
  ""obstacleSpeedIncrement"": 0.63
}","{
  ""height"": 28,
  ""width"": 14,
  ""moveSpeed"": 4,
  ""gravity"": 0.74,
  ""impulseY"": -17,
  ""lives"": 2,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 18,
  ""attempts"": 2,
  ""keyPresses"": 387,
  ""id"": ""2"",
  ""obstacleSpeedIncrement"": 0.38
}","{
  ""height"": 33,
  ""width"": 46,
  ""moveSpeed"": 4,
  ""gravity"": 0.58,
  ""impulseY"": -15,
  ""lives"": 2,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 18,
  ""attempts"": 2,
  ""keyPresses"": 496,
  ""id"": ""3"",
  ""obstacleSpeedIncrement"": 0.31
}","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","true","false","true","false","false","true","false","true","ESFJ","3, 2, 1","6","3","3"
"367O8HRHKG8IBF4GZFE4UXCZKDWS4Q","4","3Z7EFSHGN9EWPK1OD6VB0N02WAQXCM","A2T65DXFH4CKVE","Approved","","425","100% (3/3)","https://lukemjm.github.io/jumpy?h=96&w=29&s=9&g=0.69&iY=-15&l=4&cJE=false&oSI=0.63&id=1&t=60","https://lukemjm.github.io/jumpy?h=28&w=14&s=4&g=0.74&iY=-17&l=2&cJE=false&oSI=0.38&id=2&t=60","https://lukemjm.github.io/jumpy?h=33&w=46&s=4&g=0.58&iY=-15&l=2&cJE=false&oSI=0.31&id=3&t=60","","5","4","4","5","4","5","3","4","6","{
  ""height"": 96,
  ""width"": 29,
  ""moveSpeed"": 9,
  ""gravity"": 0.69,
  ""impulseY"": -15,
  ""lives"": 4,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 5,
  ""attempts"": 4,
  ""keyPresses"": 24,
  ""id"": ""1"",
  ""obstacleSpeedIncrement"": 0.63
}","{
  ""height"": 28,
  ""width"": 14,
  ""moveSpeed"": 4,
  ""gravity"": 0.74,
  ""impulseY"": -17,
  ""lives"": 2,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 13,
  ""attempts"": 3,
  ""keyPresses"": 30,
  ""id"": ""2"",
  ""obstacleSpeedIncrement"": 0.38
}","{
  ""height"": 33,
  ""width"": 46,
  ""moveSpeed"": 4,
  ""gravity"": 0.58,
  ""impulseY"": -15,
  ""lives"": 2,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 14,
  ""attempts"": 3,
  ""keyPresses"": 26,
  ""id"": ""3"",
  ""obstacleSpeedIncrement"": 0.31
}","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","personalityUnknown","2,1,3","6","4","5"
"3RKHNXPHGWWJ4ULN9CWKGFJJ2W7UKY","2","3SNLUL3WO4NXBK1ZLEDNJZRLWYBLUG","A3HSFVTWE8B230","Approved","","379","100% (1/1)","https://lukemjm.github.io/jumpy?h=93&w=38&s=4&g=0.74&iY=-14&l=3&cJE=false&oSI=0.44&id=1&t=60","https://lukemjm.github.io/jumpy?h=51&w=10&s=10&g=0.69&iY=-17&l=5&cJE=false&oSI=0.71&id=2&t=60","https://lukemjm.github.io/jumpy?h=46&w=27&s=6&g=0.33&iY=-14&l=2&cJE=false&oSI=0.94&id=3&t=60","No","4","3","3","5","5","5","3","3","3","{
  ""height"": 93,
  ""width"": 38,
  ""moveSpeed"": 4,
  ""gravity"": 0.74,
  ""impulseY"": -14,
  ""lives"": 3,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 6,
  ""attempts"": 4,
  ""keyPresses"": 50,
  ""id"": ""1"",
  ""obstacleSpeedIncrement"": 0.44
}","{
  ""height"": 51,
  ""width"": 10,
  ""moveSpeed"": 10,
  ""gravity"": 0.69,
  ""impulseY"": -17,
  ""lives"": 5,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 24,
  ""attempts"": 3,
  ""keyPresses"": 63,
  ""id"": ""2"",
  ""obstacleSpeedIncrement"": 0.71
}","{
  ""height"": 46,
  ""width"": 27,
  ""moveSpeed"": 6,
  ""gravity"": 0.33,
  ""impulseY"": -14,
  ""lives"": 2,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 12,
  ""attempts"": 4,
  ""keyPresses"": 43,
  ""id"": ""3"",
  ""obstacleSpeedIncrement"": 0.94
}","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","personalityUnknown","2, 1, 3","5","5","5"
"3RKHNXPHGWWJ4ULN9CWKGFJJ2W7UKY","2","3SNVL38CI4SQ5K2HENGMATS00Y3CKY","A1LA71INO16FVS","Approved","","768","100% (5/5)","https://lukemjm.github.io/jumpy?h=93&w=38&s=4&g=0.74&iY=-14&l=3&cJE=false&oSI=0.44&id=1&t=60","https://lukemjm.github.io/jumpy?h=51&w=10&s=10&g=0.69&iY=-17&l=5&cJE=false&oSI=0.71&id=2&t=60","https://lukemjm.github.io/jumpy?h=46&w=27&s=6&g=0.33&iY=-14&l=2&cJE=false&oSI=0.94&id=3&t=60","","4","5","5","4","5","5","4","5","5","{
  ""height"": 93,
  ""width"": 38,
  ""moveSpeed"": 4,
  ""gravity"": 0.74,
  ""impulseY"": -14,
  ""lives"": 3,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 6,
  ""attempts"": 4,
  ""keyPresses"": 25,
  ""id"": ""1"",
  ""obstacleSpeedIncrement"": 0.44
}","{
  ""height"": 51,
  ""width"": 10,
  ""moveSpeed"": 10,
  ""gravity"": 0.69,
  ""impulseY"": -17,
  ""lives"": 5,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 17,
  ""attempts"": 3,
  ""keyPresses"": 46,
  ""id"": ""2"",
  ""obstacleSpeedIncrement"": 0.71
}","{
  ""height"": 46,
  ""width"": 27,
  ""moveSpeed"": 6,
  ""gravity"": 0.33,
  ""impulseY"": -14,
  ""lives"": 2,
  ""chamberedJumpEnabled"": false,
  ""highestScore"": 11,
  ""attempts"": 5,
  ""keyPresses"": 24,
  ""id"": ""3"",
  ""obstacleSpeedIncrement"": 0.94
}","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","true","true","false","false","false","true","false","ESTJ","123","1","7","5"
